Country,Year,Total_Energy_Consumption_EJ,,,,
US,1971,66.92043164,,,,
US,1972,70.25069155,,,,
US,1973,73.22326209,,,,
US,1974,71.43338501,,,,
US,1975,69.55013557,,,,
US,1976,73.35543364,,,,
US,1977,75.22432765,,,,
US,1978,76.89344874,,,,
US,1979,77.70384055,,,,
US,1980,74.70704892,,,,
US,1981,72.49713615,,,,
US,1982,69.54530391,,,,
US,1983,69.3019129,,,,
US,1984,72.84848091,,,,
US,1985,72.66328219,,,,
US,1986,73.33778554,,,,
US,1987,75.79895875,,,,
US,1988,79.2525017,,,,
US,1989,81.16856033,,,,
US,1990,81.39310584,,,,
US,1991,81.28698951,,,,
US,1992,82.48719659,,,,
US,1993,84.22698771,,,,
US,1994,85.76686919,,,,
US,1995,87.63630851,,,,
US,1996,90.59534436,,,,
US,1997,91.2747439,,,,
US,1998,91.84810383,,,,
US,1999,93.47427226,,,,
US,2000,95.56644835,,,,
US,2001,93.30608206,,,,
US,2002,94.67017005,,,,
US,2003,94.97910366,,,,
US,2004,96.83682558,,,,
US,2005,96.88523181,,,,
US,2006,96.11986674,,,,
US,2007,97.44015959,,,,
US,2008,95.06609958,,,,
US,2009,90.39789583,,,,
US,2010,93.43277011,,,,
US,2011,92.62471885,,,,
US,2012,90.17052141,,,,
US,2013,92.62306236,,,,
US,2014,93.58528648,,,,
US,2015,92.69073534,,,,
US,2016,92.61738434,,,,
US,2017,92.96584517,,,,
US,2018,96.36835438,,,,
US,2019,95.68257901,,,,
US,2020,88.64153272,,,,
US,2021,93.44457862,,,,
US,2022,95.415497,,,,
US,2023,94.28111935,,,,
Argentina,1965,1.182699454,,,,
Argentina,1966,1.221029139,,,,
Argentina,1967,1.256516105,,,,
Argentina,1968,1.299039988,,,,
Argentina,1969,1.342478437,,,,
Argentina,1970,1.272551495,,,,
Argentina,1971,1.349070086,,,,
Argentina,1972,1.366012566,,,,
Argentina,1973,1.427247948,,,,
Argentina,1974,1.484200351,,,,
Argentina,1975,1.449256346,,,,
Argentina,1976,1.521770237,,,,
Argentina,1977,1.589250059,,,,
Argentina,1978,1.591657294,,,,
Argentina,1979,1.708761467,,,,
Argentina,1980,1.699269199,,,,
Argentina,1981,1.6486686,,,,
Argentina,1982,1.679445998,,,,
Argentina,1983,1.748749008,,,,
Argentina,1984,1.754438586,,,,
Argentina,1985,1.733828325,,,,
Argentina,1986,1.831984667,,,,
Argentina,1987,1.914613843,,,,
Argentina,1988,1.946656422,,,,
Argentina,1989,1.877187063,,,,
Argentina,1990,1.846878098,,,,
Argentina,1991,1.876849753,,,,
Argentina,1992,2.01351373,,,,
Argentina,1993,2.080233322,,,,
Argentina,1994,2.191540308,,,,
Argentina,1995,2.261651259,,,,
Argentina,1996,2.365662536,,,,
Argentina,1997,2.393118484,,,,
Argentina,1998,2.478330437,,,,
Argentina,1999,2.505837877,,,,
Argentina,2000,2.515597274,,,,
Argentina,2001,2.457087393,,,,
Argentina,2002,2.356104508,,,,
Argentina,2003,2.525420268,,,,
Argentina,2004,2.681342431,,,,
Argentina,2005,2.845826742,,,,
Argentina,2006,2.989953611,,,,
Argentina,2007,3.116323681,,,,
Argentina,2008,3.157840995,,,,
Argentina,2009,3.06903902,,,,
Argentina,2010,3.182289353,,,,
Argentina,2011,3.272727743,,,,
Argentina,2012,3.397343306,,,,
Argentina,2013,3.533033394,,,,
Argentina,2014,3.527487753,,,,
Argentina,2015,3.588984208,,,,
Argentina,2016,3.572727118,,,,
Argentina,2017,3.569029614,,,,
Argentina,2018,3.543644201,,,,
Argentina,2019,3.33849008,,,,
Argentina,2020,3.131383015,,,,
Argentina,2021,3.450465595,,,,
Argentina,2022,3.705771569,,,,
Argentina,2023,3.671068512,,,,
Brazil,1965,0.985930651,,,,
Brazil,1966,1.075608498,,,,
Brazil,1967,1.114484732,,,,
Brazil,1968,1.272549695,,,,
Brazil,1969,1.388923176,,,,
Brazil,1970,1.632110108,,,,
Brazil,1971,1.818817422,,,,
Brazil,1972,2.077137734,,,,
Brazil,1973,2.446639522,,,,
Brazil,1974,2.726617376,,,,
Brazil,1975,2.877556514,,,,
Brazil,1976,3.15057019,,,,
Brazil,1977,3.360115693,,,,
Brazil,1978,3.716165538,,,,
Brazil,1979,4.055236962,,,,
Brazil,1980,4.151239222,,,,
Brazil,1981,4.068137309,,,,
Brazil,1982,4.277384801,,,,
Brazil,1983,4.326432537,,,,
Brazil,1984,4.606914321,,,,
Brazil,1985,4.937950909,,,,
Brazil,1986,5.208662167,,,,
Brazil,1987,5.353017667,,,,
Brazil,1988,5.518311092,,,,
Brazil,1989,5.674623847,,,,
Brazil,1990,5.637570184,,,,
Brazil,1991,5.819739626,,,,
Brazil,1992,5.901500789,,,,
Brazil,1993,6.174731536,,,,
Brazil,1994,6.475883806,,,,
Brazil,1995,6.886053875,,,,
Brazil,1996,7.291255364,,,,
Brazil,1997,7.751710474,,,,
Brazil,1998,8.024899572,,,,
Brazil,1999,8.116624136,,,,
Brazil,2000,8.484351221,,,,
Brazil,2001,8.272200562,,,,
Brazil,2002,8.460467711,,,,
Brazil,2003,8.620636135,,,,
Brazil,2004,9.039802901,,,,
Brazil,2005,9.275024913,,,,
Brazil,2006,9.530622342,,,,
Brazil,2007,10.14436658,,,,
Brazil,2008,10.58123919,,,,
Brazil,2009,10.50691822,,,,
Brazil,2010,11.46613232,,,,
Brazil,2011,11.86484311,,,,
Brazil,2012,12.21235443,,,,
Brazil,2013,12.50618269,,,,
Brazil,2014,12.8319063,,,,
Brazil,2015,12.66104507,,,,
Brazil,2016,12.35579537,,,,
Brazil,2017,12.46677573,,,,
Brazil,2018,12.51348606,,,,
Brazil,2019,12.71862254,,,,
Brazil,2020,12.2197255,,,,
Brazil,2021,12.85441075,,,,
Brazil,2022,13.43592232,,,,
Brazil,2023,13.87337272,,,,
Chile,1965,0.260758195,,,,
Chile,1966,0.279630665,,,,
Chile,1967,0.285077805,,,,
Chile,1968,0.283892047,,,,
Chile,1969,0.305987058,,,,
Chile,1970,0.323077966,,,,
Chile,1971,0.349593569,,,,
Chile,1972,0.356202265,,,,
Chile,1973,0.344670871,,,,
Chile,1974,0.345338107,,,,
Chile,1975,0.312581118,,,,
Chile,1976,0.324589733,,,,
Chile,1977,0.339760883,,,,
Chile,1978,0.353171165,,,,
Chile,1979,0.372875362,,,,
Chile,1980,0.385115284,,,,
Chile,1981,0.387297775,,,,
Chile,1982,0.362272221,,,,
Chile,1983,0.376349264,,,,
Chile,1984,0.390688471,,,,
Chile,1985,0.395639566,,,,
Chile,1986,0.41099464,,,,
Chile,1987,0.431397756,,,,
Chile,1988,0.481380394,,,,
Chile,1989,0.53216059,,,,
Chile,1990,0.560450195,,,,
Chile,1991,0.629871148,,,,
Chile,1992,0.699098323,,,,
Chile,1993,0.7388211,,,,
Chile,1994,0.775732515,,,,
Chile,1995,0.836047985,,,,
Chile,1996,0.885041948,,,,
Chile,1997,1.011811357,,,,
Chile,1998,1.013312991,,,,
Chile,1999,1.055214817,,,,
Chile,2000,1.106608462,,,,
Chile,2001,1.128041683,,,,
Chile,2002,1.154885091,,,,
Chile,2003,1.160963085,,,,
Chile,2004,1.239476388,,,,
Chile,2005,1.286376903,,,,
Chile,2006,1.330856346,,,,
Chile,2007,1.32947496,,,,
Chile,2008,1.329500392,,,,
Chile,2009,1.275740661,,,,
Chile,2010,1.310211565,,,,
Chile,2011,1.388562482,,,,
Chile,2012,1.449887663,,,,
Chile,2013,1.489533551,,,,
Chile,2014,1.47432217,,,,
Chile,2015,1.491227292,,,,
Chile,2016,1.562052116,,,,
Chile,2017,1.621248811,,,,
Chile,2018,1.685799628,,,,
Chile,2019,1.706323415,,,,
Chile,2020,1.592919543,,,,
Chile,2021,1.716685221,,,,
Chile,2022,1.812619179,,,,
Chile,2023,1.814643189,,,,
Colombia,1965,0.351624142,,,,
Colombia,1966,0.395738047,,,,
Colombia,1967,0.417099748,,,,
Colombia,1968,0.433027133,,,,
Colombia,1969,0.438417133,,,,
Colombia,1970,0.480358537,,,,
Colombia,1971,0.475246131,,,,
Colombia,1972,0.547896065,,,,
Colombia,1973,0.529907342,,,,
Colombia,1974,0.592777204,,,,
Colombia,1975,0.560285528,,,,
Colombia,1976,0.584127472,,,,
Colombia,1977,0.603553123,,,,
Colombia,1978,0.634272522,,,,
Colombia,1979,0.65998257,,,,
Colombia,1980,0.686643889,,,,
Colombia,1981,0.696405883,,,,
Colombia,1982,0.716537836,,,,
Colombia,1983,0.754630697,,,,
Colombia,1984,0.764562975,,,,
Colombia,1985,0.790031646,,,,
Colombia,1986,0.827868045,,,,
Colombia,1987,0.904575281,,,,
Colombia,1988,0.903932076,,,,
Colombia,1989,0.952146869,,,,
Colombia,1990,0.908932123,,,,
Colombia,1991,0.933007958,,,,
Colombia,1992,0.966621289,,,,
Colombia,1993,1.051870793,,,,
Colombia,1994,1.139002808,,,,
Colombia,1995,1.165409156,,,,
Colombia,1996,1.211755991,,,,
Colombia,1997,1.231811237,,,,
Colombia,1998,1.247476088,,,,
Colombia,1999,1.162348446,,,,
Colombia,2000,1.131063647,,,,
Colombia,2001,1.140712882,,,,
Colombia,2002,1.140970049,,,,
Colombia,2003,1.162308216,,,,
Colombia,2004,1.222310288,,,,
Colombia,2005,1.203485528,,,,
Colombia,2006,1.389552255,,,,
Colombia,2007,1.412176325,,,,
Colombia,2008,1.470527909,,,,
Colombia,2009,1.453616132,,,,
Colombia,2010,1.52856372,,,,
Colombia,2011,1.597667778,,,,
Colombia,2012,1.698959095,,,,
Colombia,2013,1.746142637,,,,
Colombia,2014,1.838109144,,,,
Colombia,2015,1.740251452,,,,
Colombia,2016,1.960622197,,,,
Colombia,2017,1.978927623,,,,
Colombia,2018,2.010307451,,,,
Colombia,2019,2.027492515,,,,
Colombia,2020,1.845309373,,,,
Colombia,2021,2.069083041,,,,
Colombia,2022,2.196242645,,,,
Colombia,2023,2.255347224,,,,
Ecuador,1965,0.031164941,,,,
Ecuador,1966,0.03280497,,,,
Ecuador,1967,0.035494704,,,,
Ecuador,1968,0.041911325,,,,
Ecuador,1969,0.044529822,,,,
Ecuador,1970,0.05318289,,,,
Ecuador,1971,0.058432878,,,,
Ecuador,1972,0.061053199,,,,
Ecuador,1973,0.065347054,,,,
Ecuador,1974,0.076276008,,,,
Ecuador,1975,0.07724989,,,,
Ecuador,1976,0.085049057,,,,
Ecuador,1977,0.101136331,,,,
Ecuador,1978,0.105782261,,,,
Ecuador,1979,0.110152942,,,,
Ecuador,1980,0.139745257,,,,
Ecuador,1981,0.154998202,,,,
Ecuador,1982,0.170324596,,,,
Ecuador,1983,0.166819629,,,,
Ecuador,1984,0.185654668,,,,
Ecuador,1985,0.219485811,,,,
Ecuador,1986,0.230061006,,,,
Ecuador,1987,0.237115467,,,,
Ecuador,1988,0.273856491,,,,
Ecuador,1989,0.282411137,,,,
Ecuador,1990,0.291535576,,,,
Ecuador,1991,0.32197932,,,,
Ecuador,1992,0.320325856,,,,
Ecuador,1993,0.332033132,,,,
Ecuador,1994,0.361161835,,,,
Ecuador,1995,0.341345543,,,,
Ecuador,1996,0.38848864,,,,
Ecuador,1997,0.432796436,,,,
Ecuador,1998,0.435038565,,,,
Ecuador,1999,0.396830549,,,,
Ecuador,2000,0.374863755,,,,
Ecuador,2001,0.379738655,,,,
Ecuador,2002,0.374793739,,,,
Ecuador,2003,0.383786728,,,,
Ecuador,2004,0.410601385,,,,
Ecuador,2005,0.434609271,,,,
Ecuador,2006,0.459668431,,,,
Ecuador,2007,0.483309199,,,,
Ecuador,2008,0.515826373,,,,
Ecuador,2009,0.503298435,,,,
Ecuador,2010,0.558699206,,,,
Ecuador,2011,0.592719463,,,,
Ecuador,2012,0.626160362,,,,
Ecuador,2013,0.64623296,,,,
Ecuador,2014,0.678827398,,,,
Ecuador,2015,0.676966107,,,,
Ecuador,2016,0.674653817,,,,
Ecuador,2017,0.702394957,,,,
Ecuador,2018,0.742968836,,,,
Ecuador,2019,0.760799174,,,,
Ecuador,2020,0.658304656,,,,
Ecuador,2021,0.765348772,,,,
Ecuador,2022,0.801823061,,,,
Ecuador,2023,0.843515538,,,,
Peru,1965,0.198024003,,,,
Peru,1966,0.241720747,,,,
Peru,1967,0.246125267,,,,
Peru,1968,0.250672052,,,,
Peru,1969,0.252505405,,,,
Peru,1970,0.260423118,,,,
Peru,1971,0.2729435,,,,
Peru,1972,0.244606686,,,,
Peru,1973,0.277166801,,,,
Peru,1974,0.319118528,,,,
Peru,1975,0.337200884,,,,
Peru,1976,0.343942767,,,,
Peru,1977,0.346728346,,,,
Peru,1978,0.346029918,,,,
Peru,1979,0.359301634,,,,
Peru,1980,0.384662612,,,,
Peru,1981,0.404337988,,,,
Peru,1982,0.407117352,,,,
Peru,1983,0.356105691,,,,
Peru,1984,0.375459107,,,,
Peru,1985,0.36927645,,,,
Peru,1986,0.397743479,,,,
Peru,1987,0.434285817,,,,
Peru,1988,0.421891234,,,,
Peru,1989,0.388637314,,,,
Peru,1990,0.385261104,,,,
Peru,1991,0.382137501,,,,
Peru,1992,0.372077391,,,,
Peru,1993,0.406634125,,,,
Peru,1994,0.442120373,,,,
Peru,1995,0.479958901,,,,
Peru,1996,0.494775359,,,,
Peru,1997,0.485166029,,,,
Peru,1998,0.500558806,,,,
Peru,1999,0.513479487,,,,
Peru,2000,0.530492959,,,,
Peru,2001,0.525873193,,,,
Peru,2002,0.538476846,,,,
Peru,2003,0.531617921,,,,
Peru,2004,0.566625859,,,,
Peru,2005,0.589427486,,,,
Peru,2006,0.596134658,,,,
Peru,2007,0.649024281,,,,
Peru,2008,0.700718804,,,,
Peru,2009,0.714384232,,,,
Peru,2010,0.811030996,,,,
Peru,2011,0.894801904,,,,
Peru,2012,0.924211415,,,,
Peru,2013,0.945293296,,,,
Peru,2014,0.967784605,,,,
Peru,2015,1.014010041,,,,
Peru,2016,1.076176269,,,,
Peru,2017,1.092925034,,,,
Peru,2018,1.146328365,,,,
Peru,2019,1.175706527,,,,
Peru,2020,1.036308362,,,,
Peru,2021,1.1786687,,,,
Peru,2022,1.216668397,,,,
Peru,2023,1.237764682,,,,
Trinidad & Tobago,1965,0.121052355,,,,
Trinidad & Tobago,1966,0.128798582,,,,
Trinidad & Tobago,1967,0.137296204,,,,
Trinidad & Tobago,1968,0.141531438,,,,
Trinidad & Tobago,1969,0.145952232,,,,
Trinidad & Tobago,1970,0.160850093,,,,
Trinidad & Tobago,1971,0.162576577,,,,
Trinidad & Tobago,1972,0.224078892,,,,
Trinidad & Tobago,1973,0.222252356,,,,
Trinidad & Tobago,1974,0.214072991,,,,
Trinidad & Tobago,1975,0.172493005,,,,
Trinidad & Tobago,1976,0.193944592,,,,
Trinidad & Tobago,1977,0.201780824,,,,
Trinidad & Tobago,1978,0.203168073,,,,
Trinidad & Tobago,1979,0.17950903,,,,
Trinidad & Tobago,1980,0.172620907,,,,
Trinidad & Tobago,1981,0.182270758,,,,
Trinidad & Tobago,1982,0.214069013,,,,
Trinidad & Tobago,1983,0.208862333,,,,
Trinidad & Tobago,1984,0.20587245,,,,
Trinidad & Tobago,1985,0.212767997,,,,
Trinidad & Tobago,1986,0.221224881,,,,
Trinidad & Tobago,1987,0.208849565,,,,
Trinidad & Tobago,1988,0.229514449,,,,
Trinidad & Tobago,1989,0.225797098,,,,
Trinidad & Tobago,1990,0.250559826,,,,
Trinidad & Tobago,1991,0.249799919,,,,
Trinidad & Tobago,1992,0.264407215,,,,
Trinidad & Tobago,1993,0.278703107,,,,
Trinidad & Tobago,1994,0.295355797,,,,
Trinidad & Tobago,1995,0.320299085,,,,
Trinidad & Tobago,1996,0.362884515,,,,
Trinidad & Tobago,1997,0.36279066,,,,
Trinidad & Tobago,1998,0.368247688,,,,
Trinidad & Tobago,1999,0.409280603,,,,
Trinidad & Tobago,2000,0.416202069,,,,
Trinidad & Tobago,2001,0.45712714,,,,
Trinidad & Tobago,2002,0.492647281,,,,
Trinidad & Tobago,2003,0.557223054,,,,
Trinidad & Tobago,2004,0.611208816,,,,
Trinidad & Tobago,2005,0.674033116,,,,
Trinidad & Tobago,2006,0.781004252,,,,
Trinidad & Tobago,2007,0.796954015,,,,
Trinidad & Tobago,2008,0.785113661,,,,
Trinidad & Tobago,2009,0.779371524,,,,
Trinidad & Tobago,2010,0.840676588,,,,
Trinidad & Tobago,2011,0.829942648,,,,
Trinidad & Tobago,2012,0.813312756,,,,
Trinidad & Tobago,2013,0.822884265,,,,
Trinidad & Tobago,2014,0.823803815,,,,
Trinidad & Tobago,2015,0.797889821,,,,
Trinidad & Tobago,2016,0.7047813,,,,
Trinidad & Tobago,2017,0.745441103,,,,
Trinidad & Tobago,2018,0.698538841,,,,
Trinidad & Tobago,2019,0.702731548,,,,
Trinidad & Tobago,2020,0.609635871,,,,
Trinidad & Tobago,2021,0.623247533,,,,
Trinidad & Tobago,2022,0.62300336,,,,
Trinidad & Tobago,2023,0.589858889,,,,
Venezuela,1965,0.689345194,,,,
Venezuela,1966,0.695904234,,,,
Venezuela,1967,0.733737068,,,,
Venezuela,1968,0.791758456,,,,
Venezuela,1969,0.800543612,,,,
Venezuela,1970,0.808111398,,,,
Venezuela,1971,0.821562778,,,,
Venezuela,1972,0.868470356,,,,
Venezuela,1973,0.993661629,,,,
Venezuela,1974,1.027885745,,,,
Venezuela,1975,1.069016106,,,,
Venezuela,1976,1.168887025,,,,
Venezuela,1977,1.302698561,,,,
Venezuela,1978,1.331094373,,,,
Venezuela,1979,1.467553653,,,,
Venezuela,1980,1.642405981,,,,
Venezuela,1981,1.703815488,,,,
Venezuela,1982,1.737627883,,,,
Venezuela,1983,1.731478822,,,,
Venezuela,1984,1.765490125,,,,
Venezuela,1985,1.813582445,,,,
Venezuela,1986,1.948486627,,,,
Venezuela,1987,1.946941228,,,,
Venezuela,1988,2.02796703,,,,
Venezuela,1989,2.045020841,,,,
Venezuela,1990,2.172797207,,,,
Venezuela,1991,2.187508672,,,,
Venezuela,1992,2.367412678,,,,
Venezuela,1993,2.342366227,,,,
Venezuela,1994,2.542782154,,,,
Venezuela,1995,2.618629897,,,,
Venezuela,1996,2.551905513,,,,
Venezuela,1997,2.697680075,,,,
Venezuela,1998,2.706325762,,,,
Venezuela,1999,2.634674408,,,,
Venezuela,2000,2.779244022,,,,
Venezuela,2001,2.941205947,,,,
Venezuela,2002,2.937029917,,,,
Venezuela,2003,2.64245345,,,,
Venezuela,2004,2.941069484,,,,
Venezuela,2005,3.057070339,,,,
Venezuela,2006,3.362282936,,,,
Venezuela,2007,3.512384685,,,,
Venezuela,2008,3.601156268,,,,
Venezuela,2009,3.638815538,,,,
Venezuela,2010,3.445232556,,,,
Venezuela,2011,3.635707085,,,,
Venezuela,2012,3.797742617,,,,
Venezuela,2013,3.733234011,,,,
Venezuela,2014,3.647657389,,,,
Venezuela,2015,3.489482351,,,,
Venezuela,2016,3.204303914,,,,
Venezuela,2017,3.142707765,,,,
Venezuela,2018,2.620340554,,,,
Venezuela,2019,2.365084972,,,,
Venezuela,2020,1.900296554,,,,
Venezuela,2021,2.174709514,,,,
Venezuela,2022,2.341002864,,,,
Venezuela,2023,2.531421083,,,,
Central America,1965,0.157963126,,,,
Central America,1966,0.163791552,,,,
Central America,1967,0.171673448,,,,
Central America,1968,0.178380133,,,,
Central America,1969,0.18728607,,,,
Central America,1970,0.196443656,,,,
Central America,1971,0.203940215,,,,
Central America,1972,0.216690398,,,,
Central America,1973,0.236981772,,,,
Central America,1974,0.252439428,,,,
Central America,1975,0.278203291,,,,
Central America,1976,0.295220506,,,,
Central America,1977,0.312207289,,,,
Central America,1978,0.327598278,,,,
Central America,1979,0.338549025,,,,
Central America,1980,0.328273826,,,,
Central America,1981,0.326581242,,,,
Central America,1982,0.324806087,,,,
Central America,1983,0.325743352,,,,
Central America,1984,0.340701933,,,,
Central America,1985,0.353859959,,,,
Central America,1986,0.366428485,,,,
Central America,1987,0.390138175,,,,
Central America,1988,0.388214196,,,,
Central America,1989,0.412742882,,,,
Central America,1990,0.427346565,,,,
Central America,1991,0.451854741,,,,
Central America,1992,0.494300307,,,,
Central America,1993,0.531141574,,,,
Central America,1994,0.562661945,,,,
Central America,1995,0.606586424,,,,
Central America,1996,0.616544176,,,,
Central America,1997,0.650116496,,,,
Central America,1998,0.721219461,,,,
Central America,1999,0.746135735,,,,
Central America,2000,0.773959259,,,,
Central America,2001,0.798717953,,,,
Central America,2002,0.818225102,,,,
Central America,2003,0.852600651,,,,
Central America,2004,0.882535487,,,,
Central America,2005,0.888845355,,,,
Central America,2006,0.938740067,,,,
Central America,2007,0.977172375,,,,
Central America,2008,1.008823551,,,,
Central America,2009,0.989037094,,,,
Central America,2010,1.031762374,,,,
Central America,2011,1.057609605,,,,
Central America,2012,1.102887933,,,,
Central America,2013,1.120538148,,,,
Central America,2014,1.154455945,,,,
Central America,2015,1.271941024,,,,
Central America,2016,1.327081212,,,,
Central America,2017,1.378215467,,,,
Central America,2018,1.404604828,,,,
Central America,2019,1.476964593,,,,
Central America,2020,1.28483844,,,,
Central America,2021,1.443650126,,,,
Central America,2022,1.491539496,,,,
Central America,2023,1.526959961,,,,
Other Caribbean,1965,0.789579095,,,,
Other Caribbean,1966,0.817827413,,,,
Other Caribbean,1967,0.85106379,,,,
Other Caribbean,1968,0.86944694,,,,
Other Caribbean,1969,0.891416475,,,,
Other Caribbean,1970,1.020999307,,,,
Other Caribbean,1971,1.057728335,,,,
Other Caribbean,1972,1.128754803,,,,
Other Caribbean,1973,1.24976093,,,,
Other Caribbean,1974,1.242788294,,,,
Other Caribbean,1975,1.209175094,,,,
Other Caribbean,1976,1.233706274,,,,
Other Caribbean,1977,1.294492029,,,,
Other Caribbean,1978,1.330755175,,,,
Other Caribbean,1979,1.373837401,,,,
Other Caribbean,1980,1.392080874,,,,
Other Caribbean,1981,1.424587707,,,,
Other Caribbean,1982,1.260646291,,,,
Other Caribbean,1983,1.234766951,,,,
Other Caribbean,1984,1.29964311,,,,
Other Caribbean,1985,1.214047424,,,,
Other Caribbean,1986,1.247050223,,,,
Other Caribbean,1987,1.295796211,,,,
Other Caribbean,1988,1.309539098,,,,
Other Caribbean,1989,1.35912316,,,,
Other Caribbean,1990,1.341517307,,,,
Other Caribbean,1991,1.311416736,,,,
Other Caribbean,1992,1.241346,,,,
Other Caribbean,1993,1.248149425,,,,
Other Caribbean,1994,1.302326347,,,,
Other Caribbean,1995,1.304633773,,,,
Other Caribbean,1996,1.352051364,,,,
Other Caribbean,1997,1.432290895,,,,
Other Caribbean,1998,1.483261802,,,,
Other Caribbean,1999,1.441592674,,,,
Other Caribbean,2000,1.717432713,,,,
Other Caribbean,2001,1.815995034,,,,
Other Caribbean,2002,1.837432452,,,,
Other Caribbean,2003,1.872731155,,,,
Other Caribbean,2004,1.876747365,,,,
Other Caribbean,2005,1.89516579,,,,
Other Caribbean,2006,1.932760096,,,,
Other Caribbean,2007,1.853925985,,,,
Other Caribbean,2008,1.726404229,,,,
Other Caribbean,2009,1.625080363,,,,
Other Caribbean,2010,1.638150705,,,,
Other Caribbean,2011,1.633473671,,,,
Other Caribbean,2012,1.583235536,,,,
Other Caribbean,2013,1.523340881,,,,
Other Caribbean,2014,1.539497241,,,,
Other Caribbean,2015,1.599140534,,,,
Other Caribbean,2016,1.650506675,,,,
Other Caribbean,2017,1.614991461,,,,
Other Caribbean,2018,1.649630269,,,,
